,Company,Title,Description,Location,Salary
56,"

    Avanade",Data Engineer Group Manager,"
            Advanced SSIS, SSRS, data warehouse, data integration and BI skills. Manage the design and development of standard/custom data warehouse and advanced analytics...",Sydney NSW,
57,"
    Opus Recruitment Solutions",BIG DATA ENGINEER – TELCO,"
            Requirements –Big Data Engineer. Job Responsibilities –Big Data Engineer. Previous relevant experience in Data Engineer positions....",Sydney NSW,"<span class=""no-wrap"">
                $700 - $850 a day</span>"
58,"

    Greythorn Specialist Technology Recruitment",Senior Big Data Engineer,"
            Experience in design and build of data ingestion framework using open source tools on Cloudera big data platform....",Sydney NSW,
59,"
    Naviro Pty Ltd",Senior Data Engineer (Spark/Scala/AWS) | 'Data Driven' Analy...,"
            We are a data driven business building bespoke Data Driven products for individual requirements. Develop new Big Data products....",Sydney NSW,"<span class=""no-wrap"">
                $140,000 - $170,000 a year</span>"
60,"

    Siemens AG",Senior Data Scientist,"
            Based on a solid data understanding, the data engineer executes feature engineering and data quality evaluations in order to prepare data tables usable for...",Perth WA,
61,"
    Paxus",Network Data Engineer,"
            Great opportunity for Network Data Engineer with Cisco ACI & SolarWinds NTA+NCM+NPM implementation experience to join a well known IT brand in Perth....",Melbourne VIC,
62,"
    Talent Insights Group",Senior Data Engineer - Embedded in Data Science Team,"
            This is an awesome opportunity for an experienced data engineer / software engineer / machine learning engineer to join an established modelling team that is...",Sydney NSW,"<span class=""no-wrap"">
                $145,000 - $160,000 a year</span>"
63,"
    Salt Recruitment","Data Integration Engineer - Manager Sydney, Australia","
            Manager, Big Data Engineer. Big data use cases and business case development. Experience managing and leading teams of big data engineers....",Sydney NSW,"<span class=""no-wrap"">
                $135,000 - $180,000 a year</span>"
64,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Specialist,"
            Strong Data Modelling skills - Traditional (3NF, Physical, Logical and Data Vault preferred). In order to build this solution we're looking for a communicative,...",Sydney NSW,"<span class=""no-wrap"">
                $150,000 a year</span>"
65,"
    Continental Technology Solutions","Data Engineer / ETL Developer, Perth","
Data Engineer / ETL Developer, 3-9 years. Supporting ad-hoc data analysis requests for new source data to be ingested into the data platform....",Perth WA,
66,"

    Accenture",Accenture Big Data Engineer Consultant/Manager,"
            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
67,"
    Search Party",Front End Engineer,"
            You’ll fit into a founding team which includes Product Managers, a Web Engineer, Data Engineer, Finance, Operations Manager and CEO....",Surry Hills NSW,
68,"
    Finite IT",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Adelaide SA,
69,"
    TheDriveGroup",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA - CONTR...,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
70,"

    ANZ Banking Group",Lead Data Scientist or Data Architect - Chengdu,"
            An exciting opportunity has just come for you to join ANZ as Lead Data Scientist, Data Engineering Architect, Lead Data Engineer....",Australia,
71,"
    Amplify Partners",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
72,"
    Aurec Human Capital Group",Data Architect,"
            Our award-winning client is seeking an experienced Data Engineer/ Data Architect to set up a Data Lake Platform in the Cloud (AWS)....",Sydney NSW,
73,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Specialist,"
            Strong Data Modelling skills - Traditional (3NF, Physical, Logical and Data Vault preferred). In order to build this solution we're looking for a communicative,...",Sydney NSW,"<span class=""no-wrap"">
                $150,000 a year</span>"
74,"

    Teradata",TB Sr. Data Eng (I),"
Data Eng (I)-174835. Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing...",Melbourne VIC,
75,"

    Accenture",Accenture Big Data Engineer Consultant/Manager,"
            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
76,"
    Search Party",Front End Engineer,"
            You’ll fit into a founding team which includes Product Managers, a Web Engineer, Data Engineer, Finance, Operations Manager and CEO....",Surry Hills NSW,
77,"
    Finite IT",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Adelaide SA,
78,"
    TheDriveGroup",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA - CONTR...,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
79,"

    ANZ Banking Group",Lead Data Scientist or Data Architect - Chengdu,"
            An exciting opportunity has just come for you to join ANZ as Lead Data Scientist, Data Engineering Architect, Lead Data Engineer....",Australia,
80,"
    Amplify Partners",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
81,"
    Aurec Human Capital Group",Data Architect,"
            Our award-winning client is seeking an experienced Data Engineer/ Data Architect to set up a Data Lake Platform in the Cloud (AWS)....",Sydney NSW,
82,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Specialist,"
            Strong Data Modelling skills - Traditional (3NF, Physical, Logical and Data Vault preferred). In order to build this solution we're looking for a communicative,...",Sydney NSW,"<span class=""no-wrap"">
                $150,000 a year</span>"
83,"

    Teradata",TB Sr. Data Eng (I),"
Data Eng (I)-174835. Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing...",Melbourne VIC,
84,"

    Accenture",Accenture Big Data Engineer Consultant/Manager,"
            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
85,"
    Search Party",Front End Engineer,"
            You’ll fit into a founding team which includes Product Managers, a Web Engineer, Data Engineer, Finance, Operations Manager and CEO....",Surry Hills NSW,
86,"
    Finite IT",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Adelaide SA,
87,"
    TheDriveGroup",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA - CONTR...,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
88,"

    ANZ Banking Group",Lead Data Scientist or Data Architect - Chengdu,"
            An exciting opportunity has just come for you to join ANZ as Lead Data Scientist, Data Engineering Architect, Lead Data Engineer....",Australia,
89,"
    Amplify Partners",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
90,"
    Aurec Human Capital Group",Data Architect,"
            Our award-winning client is seeking an experienced Data Engineer/ Data Architect to set up a Data Lake Platform in the Cloud (AWS)....",Sydney NSW,
91,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Specialist,"
            Strong Data Modelling skills - Traditional (3NF, Physical, Logical and Data Vault preferred). In order to build this solution we're looking for a communicative,...",Sydney NSW,"<span class=""no-wrap"">
                $150,000 a year</span>"
92,"

    Teradata",TB Sr. Data Eng (I),"
Data Eng (I)-174835. Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing...",Melbourne VIC,
93,"

    Accenture",Accenture Big Data Engineer Consultant/Manager,"
            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
94,"
    Search Party",Front End Engineer,"
            You’ll fit into a founding team which includes Product Managers, a Web Engineer, Data Engineer, Finance, Operations Manager and CEO....",Surry Hills NSW,
95,"
    Finite IT",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Adelaide SA,
96,"
    TheDriveGroup",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA - CONTR...,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
97,"

    ANZ Banking Group",Lead Data Scientist or Data Architect - Chengdu,"
            An exciting opportunity has just come for you to join ANZ as Lead Data Scientist, Data Engineering Architect, Lead Data Engineer....",Australia,
98,"
    Amplify Partners",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA,"
            As the successful Big Data Engineer, your key responsibilities will be as follows:. Work closely with the new Head of Big Data & other senior stakeholders to...",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
99,"
    Aurec Human Capital Group",Data Architect,"
            Our award-winning client is seeking an experienced Data Engineer/ Data Architect to set up a Data Lake Platform in the Cloud (AWS)....",Sydney NSW,
