,Company,Title,Description,Location,Salary
41,Fulsearch,Senior Research Analyst - Industrials (Mid/Small Caps),"
                            Senior Research Analyst - Industrials (Mid/ Small Caps). Proven ability to critically review and analyse industry data....",Sydney NSW,"<span class=""no-wrap"">
                $200,000 - $250,000 a year</span>"
42,Robert Walters,Cyber Security Analyst - SOC,"
                            Requirements for the Cyber Security Analyst role:. Responsibilities for the role of Cyber Security Analyst role:....",Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $95,000 a year</span>"
43,University of New South Wales,Research & Technology Analyst,"
            The Research and Technology Analyst is responsible for analysing and defining requirements and functionality for information systems and other solutions which...",Kensington NSW,"<span class=""no-wrap"">
                $91,000 - $99,000 a year</span>"
44,Cisco,Business Analyst (Intern) - Australia,"
            Analyze internal processes, data, and problems *. Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT,...",North Sydney NSW,
45,Manpower Services (Hong Kong) Limited,Junior Risk Analyst (SAS),"
            Highly numerate with sound knowledge in SAS programming, data mining and MS word / excel / access / powerpoint....",Australia,
46,Government of South Australia,Scheme Data Analyst,"
            The Scheme Data Analyst is accountable to the Senior Scheme Data Analyst and will take part in the design, implementation and continuous improvement of scheme...",Adelaide SA,"<span class=""no-wrap"">
                $50,000 - $69,000 a year</span>"
47,Finder.com.au,Data Quality Analyst,"
            As a product data manager at finder, you’ll be responsible for the data integrity, regulatory compliance processes, risk management and the quality assurance of...",Sydney NSW,
48,Dialog Information Technology,Business Analyst (Data Migration),"
            Expertise with Data Migration & Data Mapping Projects. Demonstrated experience in Data Migration & Data Mapping projects....",Melbourne VIC,
49,Ray White and Loan Market,Data/Business Analyst,"
            Quarterly production of the comparator market share data. We are therefore looking for a skilled analyst who is keen to drive business improvements in a dynamic...",Sydney NSW,
50,Macquarie Group Limited,Data Business Analyst,"
            Investigating data related issues. Assessing and monitoring data quality. Exposure to data management frameworks and practices....",Sydney NSW,
51,GetSwift,Data Scientist,"
Data analysis and reporting. Enhancing data collection and analytics. Performing data mining and statistical analyses....",Melbourne VIC,
52,EXPERIAN,Data Scientist,"
            Successful candidates will enjoy working with large volumes of data in an innovative and fast paced environment....",Melbourne VIC,
53,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
54,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
55,Equifax,Data Scientist,"
Data driven marketing solutions that maximize marketing efficiency, including market analysis, data enhancement & integration, external data supply, demographic...",Melbourne VIC,
56,AMP Limited,"Analyst, Cortex Data & Technologies","
Data automation scripting. Data extraction & transformation techniques. Database designs, data transformations and time series manipulation....",Sydney NSW,
57,William Hill,Data Analyst (Product & CX),"
            Typical data sources include our data warehouse, regular customer surveys and GA. William Hill Australia is looking for a Product and Customer Experience...",Sydney NSW,
58,Adrenalin Media Pty Ltd,SEO/SEM Data Analyst,"
            Analyse data to make proactive/reactive decisions based on results. You will lead the ongoing analysis, strategy and planning of all data & search activities...",Sydney NSW,
59,Kinesis,Data Loving Analyst,"
            Experience in working with data. 2+ years experience in data analytics. Kinesis has developed a powerful suite of web-based applications that connect decision...",Sydney Central Business District NSW,
60,Endeavour Drinks Group,Solution Architect,"
            Develop architectural artefacts, including, but not limited to roadmaps, current and future state designs, data flow diagrams, high level solution design...",New South Wales,
61,IBM,Big Data Engineer - Data Analytics SME (Syd/Mel),"
            Master data management, including customer data strategy, product data strategy and organizational hierarchy, and Information (data) Governance including...",St Leonards NSW,
62,Munich Re,Data Scientist,"
            Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection processes....",Sydney NSW,
63,Freelancer.com,Data Scientist,"
            From design, writing, data entry and software development; We are a data-driven company - data trumps opinions, every time....",Sydney NSW,
64,Teradata,Data Scientist,"
            Perform data wrangling and extract exploratory insights from big data. Exploring, manipulating, and visualizing data in big data to find new patterns and...",Sydney NSW,
65,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
66,QBE Insurance,Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
67,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
68,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
69,QBE Insurance,Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
70,Robert Walters,AML & Onboarding Analyst,"
                            Maintaining customer data and documents into customer database. Conducting research on new and existing clients to obtain KYC data from public sources....",Sydney NSW,
71,Dimension Data,Data Scientist,"
            Diversity in Dimension Data. Data mining using state-of-the-art methods. Bachelor’s degree in Data Science, Statistics or related....",Sydney NSW,
72,Atlassian,"Data Scientist, Product Insights","
            Do you get excited by the challenge of scaling a fast-growing company by powering it with data, reporting, and analytics?...",Sydney NSW,
73,Toyota,HRIS & Data Analyst,"
            Experience working hands on with data migrations, extracting and cleansing data. A new and excellent opportunity has arisen for a suitable individual to join...",Australia,
74,Department of Treasury & Finance,"Economist/Research Economist, Revenue Forecasting","
            Experience using software to manage large data sets is preferable; Ability to manage projects analysing large data sets, undertake independent economic research...",Melbourne VIC,"<span class=""no-wrap"">
                $64,583 - $78,418 a year</span>"
75,Data Action Pty Ltd,Business Analyst,"
Data Action provides outstanding technology services to a large number of Australian mutual banking institutions and is experiencing unprecedented growth....",Adelaide SA,
76,Google,"Data Scientist, Google Technical Services","
            Engage various stakeholders, assess data readiness. Experience using and/or deploying digital analytics and measurement solutions, and experience in SQL and big...",Sydney NSW,
77,QSuper Group,Investment Data Business Analyst,"
            The ideal Investment Data Business Analyst will have:. As the successful Investment Data Business Analyst, you will be responsible for development of the Data...",Brisbane QLD,
78,Manpower Services (Hong Kong) Limited,CRM Data Analyst,"
            Be the custodian for the loyalty data integrity and data compliance. Support simple data extraction and lead generations....",Australia,
79,AAM Pty Ltd,Geospatial Data Analyst,"
            Undertake 3D data construction, manipulation, visualisation and presentation. Present spatial data for client deliveries in function and format as required by...",Brisbane QLD,
80,RAC WA,Membership Data Analyst,"
            Using a variety of statistical techniques, tools and data sources, to collect, consolidate, model, analyse and present data in a way to provide insights and...",West Perth WA,
81,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
82,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
83,Mainstream Group Holdings Limited,Technical Business Analyst - Fund Services,"
                            Provide subject matter expertise for reporting and data sources. Provide new client set-up/transition support with specific focus on data migration....",Sydney NSW,"<span class=""no-wrap"">
                $90,000 a year</span>"
84,GTRS Portal,Information Technology Internship (Students can apply),"
                            Technical Business Analyst. We offer Internships roles across all sectors of....",Melbourne VIC,
85,Mainstream Group Holdings Limited,Technical Business Analyst - Fund Services,"
                            Provide subject matter expertise for reporting and data sources. Provide new client set-up/transition support with specific focus on data migration....",Sydney NSW,"<span class=""no-wrap"">
                $90,000 a year</span>"
86,PwC,Risk Data & Reporting Analyst | Risk Consulting,"
            As the Risk Data & Reporting Analyst, you will make an impact here by delivering best practice, data driven solutions....",Melbourne VIC,
87,Macquarie Group Limited,Market Data Analyst | Business Services | Shape own your car...,"
            The market data analyst role is primarily concerned with the provisioning of market data products and services, managing costs, managing the inventory of these...",Sydney NSW,
88,Queensland Government,Statistical Data Standards Officer,"
            This role will work as part of a team that manages corporate reference data and data standards that support data quality in Queensland Health data collections...",Brisbane QLD,"<span class=""no-wrap"">
                $84,532 - $91,847 a year</span>"
89,VGW,Data Scientist,"
            Join our extraordinary Australian team! Data Scientist Data & Analytics Team |...",Perth WA,
90,Review Australia,Database Analyst / Specialist,"
            Database Analyst / Specialist. Through integrated customer acquisition, retention and reactivation initiatives, you will be charged with growing our existing...",Melbourne VIC,
91,NSW Electoral Commission,Data and Geospatial Analyst,"
Data and Geospatial Analyst - 00005TJE. The Data & Geospatial Analyst supports the data analytics and geospatial activities of the NSWEC in line with...",Sydney NSW,"<span class=""no-wrap"">
                $81,369 - $89,781 a year</span>"
92,Sree Tech Consulting,Data Scientist,"
            Experience in data wrangling and working with large complex structured and unstructured data sets; Testing different data analytics techniques to develop data...",Canberra ACT,
93,DigitasLBi,Data Engineer,"
Data extraction from structured/unstructured sources; The creative use of data / data sources is a must, the candidate should have not only a strong analytical...",Sydney NSW,
94,General Assembly,Instructional Associate - Data Science Immersive,"
            If you are looking to make a life-changing impact by sharing your love for data science with the next generation of developers, analysts, and data scientists we...",Sydney NSW,
95,TheDriveGroup,Junior / Mid Level Data Scientist x 2,"
            Junior - Mid Level Data Scientist / Data Analyst x 2. Commercial experience as Data Scientist. Big Data - Scala (preferred), Spark, Kafka, Redshift....",Sydney NSW,"<span class=""no-wrap"">
                $110,000 a year</span>"
96,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
97,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
98,Jon Michel Executive Search,Credit Risk Analyst – Corporate/Institutional Banking,"
                            This leading Global Bank is seeking an Credit Risk Analyst to join a well-established and dynamic team. Origination and Execution....",Sydney NSW,
99,Black Cat Data,Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
100,Genesis IT&T Pty Ltd,Data Scientist | Junior to Mid Level,"
            Mid level Data Scientist Role. The mid-level Data Scientist will be working with established programmatic and quantitative methods to find patterns and...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 a year</span>"
101,NAB - National Australia Bank,Analyst Operational Excellence,"
Analyst Operational Excellence. You will wear two hats in your role as the Operational Excellence Analyst. If you are an enthusiastic, well organised analyst...",Melbourne VIC,
102,Strikeforce AMC,Data/ Insight Analyst,"
            Understanding multiple data sources in the market, availability of the data, opportunities to acquire/leverage data....",New South Wales,
103,Gippsland Primary Health Network,Health Data Analyst,"
            We are currently seeking a Health Data Analyst in a Part-Time capacity, to develop Gippsland PHN’s understanding of regional and local health and social needs....",Victoria,
104,IAG,Data Scientist,"
            Experience in analysing large volumes of unstructured data. Advanced knowledge of analytics and data processing technologies and architectures....",Sydney NSW,
105,BT Financial Group,Risk and Reporting Analyst,"
            Able to extract and collate data from a range of sources. BT Financial Group (BTFG) is the wealth management arm of the Westpac Banking Corporation....",Sydney Central Business District NSW,
106,NSW State Emergency Service,"Information and Data Analyst, Clerk Grade 7/8","
            Information and Data Analyst, Clerk Grade 7/8 - 00005R9G. These include Data Warehouse\ Business Intelligence solution, enterprise reporting, predictive...",Illawarra NSW,"<span class=""no-wrap"">
                $92,470 - $102,359 a year</span>"
107,DigitasLBi,Data Strategy Lead,"
Data Strategy Lead. Offering direction and guidance to Analysts and Senior Analysts on all aspects of client deliverables....",Sydney NSW,
108,Zinfra,Business Data and Quality Analyst,"
            Strong analytical and problem solving skills including the ability to extract large data from various sources, interpret and present information....",Baulkham Hills NSW,
109,Michael Page,Junior Data Analyst (SAS),"
            Seeking enthusiastic, and driven SAS Data Analyst. Excellent opportunity for up and coming Data Analysts to get a jump start in their career....",Melbourne VIC,"<span class=""no-wrap"">
                $65,000 - $75,000 a year</span>"
110,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
111,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
112,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
113,"Department of Economic Development, Jobs, Transpor...",Intelligence Analyst,"
            Reporting to the Manager – Domestic Animals, the Intelligence Analyst plays a critical role in supporting the Domestic Animals team to maintain, analyse and...",Melbourne VIC,"<span class=""no-wrap"">
                $79,955 - $90,716 a year</span>"
114,Venture Consulting Pty Ltd,Graduate Business Analyst,"
            Conduct research and draw meaningful insight from your own data analysis and modelling. As a Business Analyst at Venture Consulting, you will work with the team...",Sydney NSW,
115,Cisco,Business Intelligence Analyst / Data Scientist (Full Time) -...,"
            Graduate Business Intelligence Analyst / Data Scientist. Qualifications related to data analytics, data science, behavioural economics, IT, computer science or...",St Leonards NSW,
116,Hays,Database Analyst,"
            Cleanse and prepare multiple sources of data for matching and/or data mining. Identify and resolve data quality issues to facilitate the use and consumption of...",Sydney Central Business District NSW,
117,TCS,Analyst,"
            We are looking to hire an experienced Analyst for a fantastic opportunity at TCS Sydney,Australia. Basic Eligibility Criteria for applying:....",Sydney NSW,
118,Royal Australian Air Force,Geospatial Air Intelligence Analyst,"
            Air Intelligence Analyst (AIA) - Geospatial Intelligence (GEOINT) personnel are employed to support Air Force aerial reconnaissance and strike capability and...",Australia,"<span class=""no-wrap"">
                $70,868 a year</span>"
119,people2people,Junior Analyst,"
            Can manipulate mass data and interpret. Previous experience in a supply chain, inventory or business analyst position....",Sydney Central Business District NSW,"<span class=""no-wrap"">
                $80,000 a year</span>"
120,Black Swallow Boutique,Data Scientist,"
            A passion for data and analytics. Experience with data visualizations tools like Tableau, D3.js, ggplot, etc....",Alexandria NSW,
121,AESOP Corporate,Infrastructure Support Analyst,"
            We are seeking a resourceful and results oriented individual for the position of Infrastructure Support Analyst....",Melbourne VIC,
122,NAB - National Australia Bank,Senior Analyst,"
            Previous experience in report writing and data presentation. Providing analysis and management of detailed credit risk data to support model performance...",Melbourne VIC,
123,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
124,Australian Communications and Media Authority,Data and Intelligence Analyst,"
            Position Profile - PN 1739 - Data and Intelligence Analyst - ACMA 5 Opens in new window. You will be asked to provide dedicated support to established...",Melbourne City Centre VIC,
125,Auto & General Insurance,Marketing Database Analyst,"
            Ability to extract data and organise it for analysis. Experience working with customer data sets to generate campaign target lists;...",Queensland,
126,Urbis,Property Economics & Research - Data Scientist,"
            Consultant - Data Scientist. Mathematical and statistical manipulation of data. Bring your passion for data to this challenging role....",Melbourne VIC,
127,Nielsen,Junior Insights Analyst - Marketing Effectiveness,"
Analysts in the Marketing Effectiveness team are not only good at reading and interpreting data but have an astute understanding of their client’s business...",Macquarie Park NSW,
128,Anditi Pty Ltd,Data Scientist/Engineer,"
            Experience with data structures and design patterns. Ability to illuminate complex problems with data analysis....",Teralba NSW,
129,Empired,Graduate Business Analyst,"
            Compose detailed functional and technical specifications, and data models where required. What you will do:....",Perth WA,
130,InterSystems Corporation,Data Migration Functional Lead,"
            Understands the ISC Data Migration solution. Understands customer requirement for Data Migration and identifies any potential gaps....",Darwin NT,
131,Department of Education and Training,Senior Policy & Data Analyst,"
            Senior Policy & Data Analyst. Data analysis and translating data results into insights. The purpose of this Senior Policy and Data Analyst role is to undertake...",Melbourne VIC,"<span class=""no-wrap"">
                $92,253 - $111,619 a year</span>"
132,THE ICONIC,Data Scientist - Data Platform Focus,"
            A senior and well experienced Data Science practitioner with at least 6+ years of experience, who has done their time in the dark deep mines of data, built...",Sydney NSW,
133,Woolworths Supermarkets,Business Analyst,"
            Business Analyst - Simpler For Stores. Creating insights and stories from data. This is more than just a data crunching role, we are looking for candidates who...",New South Wales,
134,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
135,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
136,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
137,Robert Walters,Senior Test Analyst - BI / DW,"
                            A leading NSW government organisation is looking for a Senior Test Analyst to work with complex data warehouses whilst managing the testing team....",Sydney NSW,"<span class=""no-wrap"">
                $500 - $600 a day</span>"
138,Australian Catholic University,Senior Analyst,"
            As Senior Analyst you will:. Undertake research and analysis of quantitative data from a wide range of resources....",North Sydney NSW,"<span class=""no-wrap"">
                $108,349 - $115,695 a year</span>"
139,Macquarie Group Limited,"Analyst, Enterprise Data Management","
            In addition, you will work closely with the stakeholders to assess data quality by identifying critical data, data lineage, data controls, establish metrics for...",Sydney NSW,
140,SAI Global,Big Data Engineer,"
            Understanding of Master Data Management, Data Quality and Meta Data Management. Data discovery, acquisition, extraction, ingest, transformation and modelling of...",Sydney NSW,
141,Kingston Human Capital,Data Entry Officer ǀ Start ASAP ǀ Apply now!,"
            They now require an experienced data entry officer for a data migration project. High volume of data entry. Troubleshoot and solve missing data issues....",Brisbane QLD,
142,DFP Recruitment Services,Business Support / Data Analyst - APS4 Level,"
            We are seeking an experienced (non-IT) Business Support / Data Analyst to join our Federal Government client based in Broadmeadows....",Melbourne VIC,"<span class=""no-wrap"">
                $32 an hour</span>"
143,David Jones,IT Application Support Analyst- BI,"
            Provide guidance and support to other Analyst Programmers. We are currently recruiting for an experienced IT Application Support Analyst to join our growing IT...",Melbourne VIC,
144,Atlassian,"Team Lead, Analytics and Machine Learning","
Data visualization (e.g. Coach analysts through telling the big picture data story, ensuring statistical integrity, and development of measures for success of...",Sydney NSW,
145,Optus,Senior Data Analyst,"
            Perform manual data entry to correct data item conflict. Performance necessary data uploads or entry actions to synchronize data between CRM systems such as:....",Melbourne VIC,
146,Westpac Group,eDiscovery Analyst,"
            Advise on, and ensure the implementation of frameworks that provide appropriate security controls for Westpac data managed either internally or by business...",Sydney Central Business District NSW,
147,Herbert Smith Freehills,eDiscovery Analyst/Data Analyst,"
            This is an exciting opportunity to join our Alternative Legal Services group in the Perth office as an eDiscovery Analyst / Data Analyst....",Perth WA,
148,Robert Half Australia,Financial Analyst,"
                            As the successful candidate you will be a logical thinking Analyst who has experience with working with high levels of raw data....",Sydney NSW,
149,Michael Page,Business Analyst - 3 days a week - Melbourne Airport Locatio...,"
                            Ability to generate meaningful reports from a variety of different data sources. Great Part Time Role....",Melbourne Northern Suburbs VIC,
150,Michael Page,Business Analyst | Fintech | Risk Analytics,"
                            Tertiary accreditation in Finance, Accounting or Data Analytics. The firm is looking to increase their headcount with an analyst who possesses a strong...",Sydney Central Business District NSW,
