,Company,Title,Description,Location,Salary
10,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
11,"<span class=""company"">
<a href=""/cmp/Komatsu-Mining"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=7df6da76eac039bb&amp;jcid=ebc6ce1504e464e6')"" rel=""noopener"" target=""_blank"">
    Komatsu Mining</a></span>",Mechancial Service Engineer - Hard Rock,"
            Gather intelligence and provide accurate reporting through Avenue data base on Komatsu and competitor equipment and business activities to assist the account...",New South Wales,
12,"<span class=""company"">
    Optiro</span>",Senior Resource Geologist,"
            Your mining software and general data handling skills will be exceptional. Our team of Geologists, Mining Engineers and other Mining professionals are amongst...",West Perth WA,
13,"<span class=""company"">
<a href=""/cmp/Viasat"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=94bcf687332024fb&amp;jcid=8b219f1987ef65ea')"" rel=""noopener"" target=""_blank"">
    ViaSat</a></span>",Service Management Engineer - Australian Airline Support Ope...,"
            The Service Operations Engineer may also travel to airline maintenance locations for hands-on deployment, testing and support of on-wing service elements....",Melbourne VIC,
14,"<span class=""company"">
<a href=""/cmp/Servicenow"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b83c980c9685dbbd&amp;jcid=7442885bc0fa7c14')"" rel=""noopener"" target=""_blank"">
    ServiceNow</a></span>",Technical Support Engineer - Integrations,"
            Technical Support Engineer - Integrations Description. The Technical Support Engineer must able to work outside of normal business hours (evening/weekend shifts...",Sydney NSW,
15,"<span class=""company"">
<a href=""/cmp/Intrax-Consulting-Engineers"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=f6191b3a35aaf961&amp;jcid=8d1ba276d32512c4')"" rel=""noopener"" target=""_blank"">
    Intrax Consulting <b>Engineers</b></a></span>",Field Technician,"
            Proficient skills and understanding of computer systems for monitoring and reporting of data (particularly Microsoft Office Suite);...",Melbourne VIC,
16,"<span class=""company"">
    ANSTO</span>",Senior Scientific Software Engineer,"
            Senior Scientific Software Engineer x 3. Lead the development of experiment control and data processing tools that support rapid complex data acquisition,...",Lucas Heights NSW,
17,"<span class=""company"">
    Endeavour Drinks Group</span>",Solution Architect,"
            Train and mentor other engineers to improve internal standards and practices through brown-bag sessions and internal process improvements....",New South Wales,
18,"<span class=""company"">
<a href=""/cmp/Amazon.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=d3a3529400510d9d&amp;jcid=fe2d21eef233e94a')"" rel=""noopener"" target=""_blank"">
    Amazon.com</a></span>",Senior Software Development Engineer,"
            Advocate for the right outcomes with data, conviction and diplomacy. Engineer operationally driven software solutions which automate everything and scale over...",Sydney NSW,
19,"<span class=""company"">
    Rudds Consulting <b>Engineers</b></span>",ELECTRICAL ENGINEER,"
            ELECTRICAL ENGINEER in Canberra. Rudds Consulting Engineers is a dynamic, multi-disciplinary, building services consulting engineering firm based in Canberra...",Canberra ACT,
20,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
21,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
22,"<span class=""company"">
<a href=""/cmp/Micro-Focus"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=41a31faca2bfebdd&amp;jcid=83cbd453678ade10')"" rel=""noopener"" target=""_blank"">
    Micro Focus</a></span>",Pre Sales Engineer – Security Software,"
            Software is currently recruiting for a Pre Sales Engineer - Security Software to be based in Sydney. Leader in Application Security and SIEM market per Gartner...",Rhodes NSW,
23,"<span class=""company"">
<a href=""/cmp/Mongodb"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5d973aaf13c8ce7a&amp;jcid=8495a7e9d5797a5f')"" rel=""noopener"" target=""_blank"">
    MongoDB</a></span>","Node.js/Javascript Software Engineer, MongoDB Charts (APAC)","
            Pair-programmed with and mentored junior engineers. Mentor junior engineers, collaborate with peers, share your knowledge....",Sydney NSW,
24,"<span class=""company"">
<a href=""/cmp/Openbet"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=ca8bb0a078126ade&amp;jcid=4e443b76321e0be1')"" rel=""noopener"" target=""_blank"">
    OpenBet</a></span>",Support Engineer L2,"
            Responsibilities of a Support Engineer at OpenBet:. If you are the right Support Engineer for us, you'll be able to demonstrate:....",Melbourne VIC,
25,"<span class=""company"">
<a href=""/cmp/BAE-Systems-Applied-Intelligence"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=f903a5c92bbf7e6b&amp;jcid=f782feb5dc08f3db')"" rel=""noopener"" target=""_blank"">
    BAE Systems Applied Intelligence</a></span>",Support Engineer,"
            As well as our traditional deep expertise in communications intelligence for governments and telecommunications companies, we help our customers collect, store,...",Melbourne VIC,
26,"<span class=""company"">
    Vlocity</span>",Customer Support Engineer,"
            Experience with Salesforce.com in an administrative/developer capacity and a detailed understanding of the Salesforce.com data model and architecture is a plus....",Melbourne VIC,
27,"<span class=""company"">
<a href=""/cmp/Raytheon"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=92c7976f91ec3f13&amp;jcid=aa53b551f9df0210')"" rel=""noopener"" target=""_blank"">
    Raytheon</a></span>",Multi-Disciplined Engineer,"
            Raytheon IIS/GIS provides Operations and Maintenance support for the Intelligence Community Raytheon is currently seeking a Multi-Disciplined Engineer II that...",Alice Springs NT,
28,"<span class=""company"">
<a href=""/cmp/Arup"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=8d5b46d794ccf8f0&amp;jcid=38c0d5e4f2a99768')"" rel=""noopener"" target=""_blank"">
    Arup</a></span>",Senior CAD Technician,"
            Strong understanding in the importance of data management principles. Ability to import and export from the various softwares and coordinate data,....",Brisbane QLD,
29,"<span class=""company"">
    Polystar Instruments</span>","Onsite Configuration & Support Engineer – Sydney, Australia","
            Telecom and data networks. Polystar is looking for a Configuration & Support Engineer to our service delivery team in APAC....",Sydney NSW,
30,"<span class=""company"">
    TheDriveGroup</span>",SENIOR BIG DATA ENGINEERS X3 | HADOOP | SPARK | JAVA - CONTR...,"
            Big Data / Lead Java Engineers / Senior Java Developers. The Big Data Engineers will have the following skills:....",Sydney NSW,"<span class=""no-wrap"">
                $900 a week</span>"
31,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
32,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
33,"<span class=""company"">
    Design9 Pty Ltd</span>",Software Engineer,"
            We have a turnkey offering ranging from Hardware, Satellite Airtime, Cloud based monitoring portals and an IoT data management portal....",Gosford NSW,
34,"<span class=""company"">
<a href=""/cmp/Nuix"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=ce7db3b765d31178&amp;jcid=d1ef0e660c8bef81')"" rel=""noopener"" target=""_blank"">
    Nuix</a></span>",Software Test Engineer,"
            The Test Engineer will work in tandem with software engineers on the development team to test new and existing products using automated and manual methodologies...",Sydney NSW,
35,"<span class=""company"">
<a href=""/cmp/Red-Hat"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=4d6b624559bc114d&amp;jcid=4f20080632c23a18')"" rel=""noopener"" target=""_blank"">
    Red Hat, Inc.</a></span>",Senior Systems Administrator,"
            High level of ethics and computer security practices as this position may handle confidential company data. Possession of Red Hat certifications, especially Red...",Brisbane QLD,
36,"<span class=""company"">
    ICTechnology</span>",Level 2 Helpdesk/Support Engineer,"
            We are looking for an enthusiastic engineer to join our team. Ability to deal with high impact, high profile, incidents and deal with senior level technical...",Bankstown NSW,
37,"<span class=""company"">
<a href=""/cmp/Boral"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=46e65b086e290e4f&amp;jcid=b455017d27b96f6f')"" rel=""noopener"" target=""_blank"">
    Boral Industries</a></span>",Solution Engineer - Application Support Specialist,"
            Good knowledge of data design, implementation and optimisation using SQLServer and Oracle. We are seeking an experienced Solution Engineer – Application Support...",Sydney NSW,
38,"<span class=""company"">
<a href=""/cmp/Commvault"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=4fd513b11b6c94ac&amp;jcid=e41a4055a18ec362')"" rel=""noopener"" target=""_blank"">
    Commvault</a></span>",Customer Support Engineer – Server,"
            Recognized as a leader in the Gartner Magic Quadrant for Data Center Backup and Recovery Software, our industry's definitive independent ranking....",Sydney NSW,
39,"<span class=""company"">
<a href=""/cmp/Komatsu-Mining"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5221185c00110e73&amp;jcid=ebc6ce1504e464e6')"" rel=""noopener"" target=""_blank"">
    Komatsu Mining</a></span>",Mechanical Development Service Engineer (Hunter / Narrabri),"
            Gather intelligence and provide accurate reporting through Salesforce data base on Joy and competitor equipment and business activities to assist the account...",Hunter Valley NSW,
40,"<span class=""company"">
<a href=""/cmp/Ghd"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=3e271f196de5ea06&amp;jcid=25b9aa55f7b71e5c')"" rel=""noopener"" target=""_blank"">
    GHD</a></span>",Instrument & Controls Engineer,"
            Instrument & Controls Engineer - BRI02099. Specification of field instruments, data sheets & associated design documentation....",Brisbane QLD,
41,"<span class=""company"">
<a href=""/cmp/AECOM"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=8302f5af2376df8c&amp;jcid=bafa4b35e9cd20ce')"" rel=""noopener"" target=""_blank"">
    AECOM</a></span>",Professional / Senior Environmental Scientist - IAP,"
            You will also be responsible for key project related tasks as required, which may include studies and assessments, data analysis, technical writing, and...",Sydney NSW,
42,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
43,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
44,"<span class=""company"">
<a href=""/cmp/Vmware"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=9e1cabd8719e3b43&amp;jcid=c762a27145bd166e')"" rel=""noopener"" target=""_blank"">
    VMware</a></span>",Senior Systems Engineer - Enterprise Team - Sydney,"
            Working collaboratively with sales, marketing and partner teams our System Engineers (SE’s) are a key component to our customer’s success....",Sydney NSW,
45,"<span class=""company"">
    SG CIB</span>",Desktop Support and Infrastructure Engineer M/F - VIE Austra...,"
Data centre management (issues, review and planning). A desktop support & infrastructure engineer is required to support SG Australia’s infrastructure, critical...",Australia,
46,"<span class=""company"">
<a href=""/cmp/Imc-Financial-Markets"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=7b8c026b7d1121d1&amp;jcid=93998d7f12d61ef7')"" rel=""noopener"" target=""_blank"">
    IMC Financial Markets</a></span>",Graduate Software Engineer,"
            Must have strong knowledge of algorithms and data structures. Following your traineeship, you will be mentored by one of our seasoned Software Engineers....",Sydney NSW,
47,"<span class=""company"">
    Interface Recruitment Australia</span>",Junior Systems Engineer,"
            With this in mind they are looking for a Junior Systems Engineer to be the initial point of contact for all IT enquiries....",Melbourne VIC,"<span class=""no-wrap"">
                $48,000 a year</span>"
48,"<span class=""company"">
    SoftLabs Pty Ltd</span>",DevOps Engineer - Monolithics to Microservices,"
            Looking for a DevOps Engineer*. DevOps Engineer – Monolithic to Microservices*. Knowledge in Telco, Machine Learning / Artificial Intelligence or Data...",Melbourne VIC,
49,"<span class=""company"">
    Alpha People</span>",Sr. DevOps Engineer (Java-based) (only GC/Citizens),"
            DevOps Engineer (Java-based)*. Experience and understanding of database design, data extraction, stored procedure, query optimization and performance tuning....",Melbourne VIC,"<span class=""no-wrap"">
                $60,000 - $70,000 a year</span>"
50,"<span class=""company"">
<a href=""/cmp/AECOM"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b51ee1de47b84b8f&amp;jcid=bafa4b35e9cd20ce')"" rel=""noopener"" target=""_blank"">
    AECOM</a></span>",Graduate Environmental Engineer/Scientist - Adelaide,"
            + Processing, interpreting and reporting of field and laboratory data. + Involvement in all stages of contaminated land projects, including site history...",Adelaide SA,
51,"<span class=""company"">
<a href=""/cmp/Tasnetworks"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=cb14509d52c30717&amp;jcid=854251ea516d2224')"" rel=""noopener"" target=""_blank"">
    TasNetworks</a></span>",Field Engineer - North,"
            In addition, the field engineer will provide:. Engineers Australia accredited or recognised four-year professional engineering degree....",Launceston TAS,
52,"<span class=""company"">
    FourQuarters</span>",Storage Engineer | Northern Suburbs | $100k-$110k Package,"
            This role is highly project centric, centered around a new data center build with software defined data center stack....",Melbourne VIC,"<span class=""no-wrap"">
                $90,000 - $110,000 a year</span>"
53,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
54,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
55,"<span class=""company"">
    Finite IT</span>",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Our large government client is looking for multiple Data Engineers to join the team in the new year! Experience in analysing and specifying Operational &...",Adelaide SA,
56,"<span class=""company"">
<a href=""/cmp/Dimension-Data"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=4d62de9dd59d750a&amp;jcid=75914e4a93ffbeca')"" rel=""noopener"" target=""_blank"">
    Dimension <b>Data</b></a></span>",Network Engineer - Wireless,"
            Diversity in Dimension Data. The primary responsibility of the PS Implementation Engineer (L3) is to provide technical support to Dimension Data clients....",Bella Vista NSW,
57,"<span class=""company"">
    Ivory Group</span>",Graduate Site Engineer,"
            Working as a Graduate Site Engineer, you will be required to assist in the tender and delivery of all civil works in the business....",Sydney NSW,"<span class=""no-wrap"">
                $50,000 - $65,000 a year</span>"
58,"<span class=""company"">
    RJ&amp;Co Solutions Pty Ltd</span>",IT Support Officer,"
            Prioritising and attending to clients' IT requests/ needs to deliver solutions, or escalating issues to senior engineers/ team lead....",Glen Iris VIC,
59,"<span class=""company"">
<a href=""/cmp/Evolution-Mining"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=1a51c1c1598f8dd2&amp;jcid=300d3effb70040f1')"" rel=""noopener"" target=""_blank"">
    Evolution Mining</a></span>",Engineer - Mining,"
            Degree qualified Minining Engineer with sound experience in a similar role. Complete drill and blast and production daily data entry and maintain the database...",Carlton VIC,
60,"<span class=""company"">
<a href=""/cmp/Amazon.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=df037c0074966998&amp;jcid=fe2d21eef233e94a')"" rel=""noopener"" target=""_blank"">
    Amazon.com</a></span>",Cloud Support Engineer - Networking,"
            Interact with engineers from leading technology companies around the world. Understanding of hardware or software Load Balancers in a large data center...",Sydney NSW,
61,"<span class=""company"">
    hipages</span>",Software Engineer - Back End (Mid to Senior),"
            Experience with NoSQL data stores. You’ll be working with an agile cross-functional team consisting of Product Managers, UX/UI Designers, Front End Engineers...",Sydney NSW,
62,"<span class=""company"">
    Consensys</span>",Protocol Test Engineer,"
            Experience analyzing data structures and algorithms. A day in the life of a protocol engineer involves optimizing blockchain data structures, writing crypto...",Brisbane QLD,
63,"<span class=""company"">
<a href=""/cmp/Buzzfeed"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b508571a5bfc388f&amp;jcid=aadc8cd1bc50c192')"" rel=""noopener"" target=""_blank"">
    BuzzFeed</a></span>",Senior IT Specialist,"
            We have offices in 18 cities around the world and more than 1300 employees including reporters, video producers, data scientists, engineers, brand strategists,...",Sydney NSW,
64,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
65,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
66,"<span class=""company"">
<a href=""/cmp/CSC-1409302a"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=0a8138fb87178d3d&amp;jcid=fa7343fc9bf9f22c')"" rel=""noopener"" target=""_blank"">
    CSC</a></span>",Senior Professional Solution Architect,"
            Strong skills in data administration, design and architecture. DXC Technology (NYSE:....",Adelaide SA,
67,"<span class=""company"">
<a href=""/cmp/Tesla-Motors"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=fb6063807cdc86d1&amp;jcid=b5435bdc4be466ce')"" rel=""noopener"" target=""_blank"">
    Tesla Motors</a></span>",Product Engineer - Energy Products Powerpack,"
            Experience using Python or equivalent for data analysis. Tesla’s Energy Product team is looking to hire a service engineer to identify and root cause design,...",Melbourne VIC,
68,"<span class=""company"">
    Vela Trading Tech</span>",Senior Software Engineer,"
            High-performance and low-latency market data and market access; Vela is a global financial technology provider of high performance trading, market data, and...",Belrose NSW,
69,"<span class=""company"">
    Ubiquitous Media Enterprise Pty Ltd</span>",Super sales hunter like Gold mining,"
            A dedicated territory that is yours to source opportunity, follow up provided data, and close. Sales consultant, Sales director, Sales engineer, Sales retailer,...",Sydney NSW,"<span class=""no-wrap"">
                $3,000 - $10,000 a month</span>"
70,"<span class=""company"">
    swipejobs</span>",DevOps Engineer,"
            Exposure to big data technologies; We are looking for a DevOps Engineer to join our team. You will be responsible for managing technology across the full stack...",Sydney Central Business District NSW,
71,"<span class=""company"">
    TheDriveGroup</span>",2x Senior NodeJS / Full Stack JavaScript Developers - BIG DA...,"
            Any exposure to Big Data, Machine Learning or AI (bonus). If you are a backend engineer, a Full Stack JavaScript Developer or even a Front End Developer with...",Sydney NSW,"<span class=""no-wrap"">
                $700 - $850 a day</span>"
72,"<span class=""company"">
<a href=""/cmp/Dimension-Data"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=19143b7fdd4a47aa&amp;jcid=75914e4a93ffbeca')"" rel=""noopener"" target=""_blank"">
    Dimension <b>Data</b></a></span>",Level 2 Engineer- Network,"
            Diversity in Dimension Data. Join our growing global team and accelerate your career with Dimension Data. Dimension Data is an equal opportunity employer with a...",Brisbane QLD,
