,Company,Title,Description,Location,Salary
31,"

    University of Melbourne",RESEARCH FELLOW IN ADVERSARIAL MACHINE LEARNING,"
            However little is known about how well state-of-the-art inference techniques fare when data is manipulated by a malicious adversary....",Parkville VIC,"<span class=""no-wrap"">
                $69,148 - $93,830 a year</span>"
32,"

    University of Melbourne",RESEARCH FELLOW IN MACHINE LEARNING FOR ENGINE CONTROL,"
            The research fellow will join a team of academic staff and postgraduate students working on problems related to the control and calibration of diesel engines....",Parkville VIC,"<span class=""no-wrap"">
                $69,148 - $93,830 a year</span>"
33,"
    Big Wednesday Digital",Head Of Data,"
            At least 5-10 years working as a statistician / data scientist. You will be managing 25-30 talented Data Scientists with 200 indirect reports....",Australia,"<span class=""no-wrap"">
                $200,000 - $400,000 a year</span>"
34,"
    Sree Tech Consulting",Data Scientist,"
            We are looking for Data Scientist for Canberra location. Experience in data wrangling and working with large complex structured and unstructured data sets;...",Canberra ACT,
35,"
    QuantumBlack",Business Intelligence Analyst (Sydney),"
            Collaborate with data scientists and data engineers to explore, analyse and manipulate data sets. You’ll work in a genuinely cross-functional and highly...",Sydney NSW,
36,"

    Queensland Government",Statistical Data Standards Officer,"
            This role will work as part of a team that manages corporate reference data and data standards that support data quality in Queensland Health data collections...",Brisbane QLD,"<span class=""no-wrap"">
                $84,532 - $91,847 a year</span>"
37,"

    IAG",Data Scientist,"
            Experience in analysing large volumes of unstructured data. Advanced knowledge of analytics and data processing technologies and architectures....",Sydney NSW,
38,"

    Gameloft",Data Tracking and Analysis Specialist,"
            Analyze data and reports generated as well as audit data integrity and correctness. Integrate internal and third party solutions to collect data....",Brisbane QLD,
39,"
    TheDriveGroup",Junior / Mid Level Data Scientist x 2,"
            Junior - Mid Level Data Scientist / Data Analyst x 2. Commercial experience as Data Scientist. You will have constant training and development as you progress...",Sydney NSW,"<span class=""no-wrap"">
                $110,000 a year</span>"
40,"
    Genesis IT&T Pty Ltd",Data Scientist | Junior to Mid Level,"
            Mid level Data Scientist Role. 2+ (commercial) Years experience mandatory as a Data Scientist. The mid-level Data Scientist will be working with established...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 a year</span>"
41,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
42,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
43,"
    Fulsearch",Senior Research Analyst - Industrials (Mid/Small Caps),"
                            Proven ability to critically review and analyse industry data. You will be working for one of Australia's leading sell side equities houses, focussing on...",Sydney NSW,"<span class=""no-wrap"">
                $200,000 - $250,000 a year</span>"
44,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
45,"

    Atlassian","Team Lead, Analytics and Machine Learning","
Data visualization (e.g. Fundamental understanding of data engineering and its challenges. Enjoy driving action based on data insight and you know how to make...",Sydney NSW,
46,"

    University of New South Wales",Research & Technology Analyst,"
            One of Australia’s leading research & teaching universities Vibrant campus life with a strong sense of community & inclusion Enjoy a career that makes a...",Kensington NSW,"<span class=""no-wrap"">
                $91,000 - $99,000 a year</span>"
47,"

    CSIRO",Research Scientist - Transport Analytics,"
            The ADAIT Platform aims to break the fragmented data view of the urban transport system, and establish an integrated data management and analytic capability....",Sydney NSW,"<span class=""no-wrap"">
                $95,000 - $103,000 a year</span>"
48,"
    Black Swallow Boutique",Data Scientist,"
            We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",Alexandria NSW,
49,"
    Youth & Programmes Group","Data Analyst |Data Scientist - Canberra, ACT","
            To complete these investigations we use both traditional and novel data sources, including real-time labour market data derived from online job ads....",Canberra ACT,"<span class=""no-wrap"">
                $74,952 - $80,130 a year</span>"
50,"

    Atlassian","Data Scientist, Product Insights","
            Do you get excited by the challenge of scaling a fast-growing company by powering it with data, reporting, and analytics?...",Sydney NSW,
51,"

    Cisco",Business Intelligence Analyst / Data Scientist (Full Time) -...,"
            Graduate Business Intelligence Analyst / Data Scientist. Qualifications related to data analytics, data science, behavioural economics, IT, computer science or...",St Leonards NSW,
52,"

    Credit Suisse",Research Analyst Australia,"
            Credit Suisse is a leading global wealth manager with strong investment banking and asset management capabilities. Founded in 1856, Credit Suisse has expanded...",Sydney NSW,
53,"

    Microsoft",Senior Data Scientist,"
            The Windows Defender Research team is looking for an experienced Applied ML Data Scientist to join our Melbourne Research Lab....",Melbourne VIC,
54,"

    JP Morgan Chase","CIB - Equities - Research Analyst, Mining - Analyst","
            Keeping track of data sources that may yield insights into the sector. J.P.Morgan’s Corporate & Investment Bank is a global leader across banking, markets and...",Melbourne VIC,
55,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
56,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
57,"

    Amazon.com",Senior Data Scientist,"
            SENIOR Data scientist – aws Professional services. Our Data Scientists can live in any location where we have a Professional Service office....",Sydney NSW,
58,"
    Cover Genius",Senior Data Scientist,"
            You will be working with World-class software engineers, data scientists, UX specialists and Founders who have come from Google and Yahoo!...",Sydney NSW,
59,"

    DigitasLBi",Data Engineer,"
Data extraction from structured/unstructured sources; The creative use of data / data sources is a must, the candidate should have not only a strong analytical...",Sydney NSW,
60,"
    International Institute of Data & Analytics",Senior Data Analyst/Scientist,"
            In data science and big data analytics, the IDA creates enablers for:. Lead and mentor junior data analysts/scientists in a closely collaborative data science...",Sydney NSW,
61,"

    Amazon.com",Research Scientist,"
Data drives the development of new process; Data integrity, test design, analysis, validation, and documentation....",Sydney NSW,
62,"

    Urbis",Property Economics & Research - Data Scientist,"
            Consultant - Data Scientist. Data visualisation aptitude. Mathematical and statistical manipulation of data....",Melbourne VIC,
63,"
    Servian",Machine Learning Consultant,"
Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics Customer Engagement - Marketing Campaigns, Campaign Analysis...",Sydney NSW,
64,"

    Readify",Senior Data Analyst/Data Scientist,"
Data Analysis Expressions (DAX) (Beneficial). You should have proven expertise with Microsoft data platform products in a similar role as a Data Scientist/Data...",Brisbane QLD,
65,"

    Siemens AG",Senior Data Scientist,"
            The Senior Data Scientist executes master data management policies developed by the data architect. Based on a solid data understanding, the data engineer...",Perth WA,
66,"

    AKQA",AKQA- Senior Data Marketing Strategist,"
            Not a data scientist, but able to delve into data to find insights and confidently and clearly present to clients. 4+ years of data marketing experience....",Sydney NSW,
67,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
68,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
69,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
70,"

    University of Melbourne",RESEARCH FELLOW IN COMPUTATIONAL COGNITIVE SCIENCE,"
            Representative frameworks include Bayesian models, neural networks, reaction time modelling, experience sampling, or the use of large-scale data (e.g....",Parkville VIC,"<span class=""no-wrap"">
                $98,775 - $117,290 a year</span>"
71,"

    Pfizer Inc.",Scientist - 2 Years (Fixed Term),"
            Generate, analyze and present scientific data. An outstanding opportunity has arisen for a highly motivated and self-starting Scientist to join our Research and...",Mulgrave VIC,
72,"

    THE ICONIC",Data Scientist - Data Platform Focus,"
            We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",Sydney NSW,
73,"

    Google","Strategic Cloud Engineer, Big Data and Machine Learning, Goo...","
            Experience working with recommendation engines, data pipelines, or distributed machine learning and experience with data analytics and data visualization...",Sydney NSW,
74,"

    ThoughtWorks",Senior Data Engineer,"
            Understanding of how to architect solutions for data science and analytics such as productionizing machine learning models and collaborating with data...",Melbourne VIC,
75,"
    Manpower Services (Hong Kong) Limited",Marketing Executive (Data Analysis),"
            Prepare weekly data analysis report, summarize and act on market' feedback. Our client, a global and well-known company, is looking for a Marketing Executive to...",Australia,
76,"
    Department of Economic Development, Jobs, Transpor...",Research Scientist - Computational Biology,"
            As the Research Scientist – Computational Biology reporting to the Principal Research Scientist – Computational Biology, you will:....",Melbourne VIC,
77,"
    Anditi Pty Ltd",Data Scientist/Engineer,"
            Experience with data structures and design patterns. Ability to illuminate complex problems with data analysis....",Teralba NSW,
78,"

    Wood Mackenzie",Australasia Upstream Research Analyst,"
            Aligning with the world’s leading data analytics company extends our ability to help clients overcome the toughest challenges with our unrivalled analysis and...",Perth WA,
79,"

    Marriott International, Inc",Analyst-Market Research,"
            วันที่ประกาศ Dec 21, 2017 หมายเลขงาน 17002TYO ประเภทของงาน การขายและการตลาด แบรนด์ The Ritz-Carlton ตารางการทำงาน เต็มเวลา ประเภทตำแหน่ง พนักงานทั่วไป/พนักงานอ...",Waikiki WA,
80,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
81,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
82,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
83,"

    Sanofi",Market Research Analyst,"
            Join a leading & innovative pharmaceutical company Open to candidates looking to work PT Join a team that offers flexible working hours At Sanofi, the patient...",Macquarie Park NSW,
84,"

    PwC",Data Analysis & Assurance Senior Consultant,"
            Experience working with data across several enterprise information platforms, specifically extracting and cleansing data....",Perth WA,
85,"

    UBS",Research Analyst - Industrial Materials,"
            Proven ability to critically review and analyse industry data. You'll be responsible for maintaining all stock and industry models, writing research, dealing...",Sydney NSW,
86,"

    Atlassian","Team Lead, Product Analytics","
            Are you looking for a chance to lead an awesome team of data scientists and analysts? Solid experience in data science, or reporting and analytics fields....",Sydney NSW,
87,"

    Pivotal Software",Senior Platform Architect (Big Data),"
            Work alongside Data Scientists and other consultants on client projects, as appropriate. Experience with In Memory Data Grid technologies - particularly GemFire...",Sydney NSW,
88,"

    Euromonitor International",Market Research Associate/Analyst,"
            Do numbers and data sets put a smile on your face? Research Associates/Analysts build expertise across a vast range of FMCG and service industries by conducting...",Sydney NSW,
89,"

    Morgan McKinley",Senior Data Scientist,"
            Role Senior Data Scientist. Python / TABLEAU / SQL / Machine Learning / AWS / AI / R / PYTHON / DATA SCIENTIST....",Sydney Central Business District NSW,"<span class=""no-wrap"">
                $160,000 - $180,000 a year</span>"
90,"
    BCS Technology International",Computer Science/ IT Graduates,"
            Develop and deploy various code used to assist with Big Data transfer into the Cloud. We provide services in a wide range of IT and technological services,...",Sydney NSW,
91,"

    SAI Global",Big Data Engineer,"
            Understanding of Master Data Management, Data Quality and Meta Data Management. Data discovery, acquisition, extraction, ingest, transformation and modelling of...",Sydney NSW,
92,"
    Think Markets",Quantitative Trading Analyst,"
            Systematically analyze market tick data to create intraday and short-term pricing models. Develop short-term trading strategies based on trading patterns of...",Melbourne VIC,
93,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
94,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
95,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
96,"

    Queensland Government","Supervising Scientist, Biochemistry Unit","
            Proven ability to acquire and apply knowledge of complex scientific data. Pathology Queensland also participates in education, training and clinical research...",Brisbane QLD,
97,"

    Macquarie Group Limited",Quantitative Analyst - Electronic Execution,"
            Experience with Python and data science tools. Apply statistical and machine learning methods across large data sets....",Sydney NSW,
98,"
    Australian Securities Exchange (ASX)","Analyst, Quantitative Risk Modelling","
            Evaluation of Risk exposures through Quantitative research and modelling.  Research and development for new/enhanced Risk and Pricing models.  Development...",Sydney NSW,
99,"

    Macquarie Group Limited",Quantitative Analyst – eFX,"
            Apply statistical and machine learning methods across large data sets. Experience with Python, KDB, and data science tools, additionally experience in FX...",Sydney NSW,
100,"

    Susquehanna International Group",Quantitative Analyst,"
            To do this, you will have access to large data sets, often terabytes of data, containing billions of records daily ....",Sydney NSW,
101,"

    DigitasLBi",Technical Analyst,"
            Our global workforce of 6,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to...",Sydney NSW,
102,"
    Tyro",Database Administrator - MySQL,"
            Work closely with software engineers, IT operations, information security, data scientists and internal customers to understand and meet their data requirements...",Sydney NSW,
103,"
    FourQuarters",Data Scientist,"
Data Scientist | Melbourne | Permanent Position. The Data Scientist will be part of an innovative team and will have a big influence on business decisions....",Melbourne VIC,
104,"

    PRA",Data Scientist,"
            As well as a big data platform Hadoop and Spark with real time data ingestion and processing. Competitive Salary + Benefits This role is for an experienced Data...",Melbourne VIC,
105,"
    Opus Recruitment Solutions",Data Science Leads,"
            Opportunity is knocking for Data Scientists with an Edge. Perform data wrangling and extract exploratory insights from big data....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $220,000 a year</span>"
106,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
107,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
108,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
109,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
110,"

    Deloitte",Quantitative Financial Modelling Senior Analyst,"
            Professional experience working with advanced analytics and data visualisation techniques, ideally within Financial Services....",Melbourne VIC,
111,"

    Hays",Research Analyst,"
            In addition, your first-class communication skills will enable you to draft research reports and present data in visually engaging ways....",Sydney Central Business District NSW,
112,"
    Department of Industry - Primary Industries",Project Officer (Grains Data Analysis),"
            You will also have the ability to undertake complex statistical design and analysis within project timeframes while maintaining a high level of integrity for...",Wagga Wagga NSW,"<span class=""no-wrap"">
                $61,658 - $118,419 a year</span>"
113,"
    Government of South Australia","ASO7 Coordinator, Statistical Reporting","
            The Coordinator, Statistical Reporting is responsible for formulating, implementing, coordinating and evaluating a range of NAPLAN data analysis and reporting...",Adelaide SA,"<span class=""no-wrap"">
                $90,000 - $109,000 a year</span>"
114,"

    CSIRO",Research Projects Officer - Geoscience,"
            Enhance and improve workflows through data collection & processing. The research team is looking to employ a project officer to act as a bridge between the...",Perth WA,"<span class=""no-wrap"">
                $95,000 - $103,000 a year</span>"
115,"
    Fenchurch Associates",Graduate Data Scientists,"
            Our client, a leading personal lines insurer is looking for several graduates to join their large Pricing function in a role as a Data Scientist....",Queensland,
116,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Engineer - Machine Learning - Junior/Mid Level,"
            At least 3 years experience delivering Data Warehouse and Data related solutions -specifically within the Teradata Suite. Alloc8 - The Data Talent Leaders....",Sydney NSW,
117,"
    Children's Cancer Institute Australia (CCIA)",Research Assistant (HM),"
            Present research data at conferences and seminars. The Research Assistant will carry out a variety of in vitro and in vivo experiments to support the senior...",Sydney NSW,
118,"

    Illumina","Field Applications Scientist 1, Australia (6 Months Contract...","
            Demonstrated understanding of sequencing data analysis software applications preferred. As Field Application Scientist you will provide applications support...",Scoresby VIC,
119,"
    Correlate Resources",Customer Data Scientists / Analytics Consultants,"
            As an experienced Customer Data Scientist the responsibilities of these roles will involve but not be limited to:....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $120,000 a year</span>"
120,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
121,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
122,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
123,"
    Department of Industry - Primary Industries",Project Officer (Grains Data Analysis),"
                            You will also have the ability to undertake complex statistical design and analysis within project timeframes while maintaining a high level of integrity for...",Wagga Wagga NSW,"<span class=""no-wrap"">
                $61,658 - $118,419 a year</span>"
124,"
    PHASTAR",Statistician,"
            Our approach ensures high quality consulting and data analysis. PHASTAR have a unique approach to statistical consulting and data analysis....",Sydney NSW,
125,"

    Equifax",Senior Analyst,"
            Exciting career progression opportunities- Data Scientist, R&D or Lead. Extract, manipulate and analyse data....",Melbourne VIC,
126,"
    Onset Group Pty Ltd",Data Scientist,"
            Commercial Data Science / Marketing Analytics Experience. Proven track record of delivering commercial value from data....",Sydney NSW,"<span class=""no-wrap"">
                $120,000 - $140,000 a year</span>"
127,"
    Opus Recruitment Solutions",DATA SCIENTIST,"
            I am looking for Mid-Senior Data Scientists to join the team located in Sydney. You’ll be working with devs from data science, data engineering, backend, web...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $130,000 a year</span>"
128,"
    Salt Recruitment","Data Scientist Sydney, Australia","
            The other members are extremely talented data scientists all from different backgrounds. Work with some of the best data scientists in the industry....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $140,000 a year</span>"
129,"

    Laverty Pathology",Stores Person/Administrator,"
            First stage Data Entry. We provide hands on training, career development and the opportunity to work with leading pathologists and scientists....",North Ryde NSW,
130,"
    Fetch Recruitment",Research Analyst,"
            My client is an Eastern Suburbs based Developer in Melbourne. They specialise in Retail and Commercial Projects and are a forward thinking, modern business....",Melbourne VIC,"<span class=""no-wrap"">
                $80,000 - $100,000 a year</span>"
131,"
    en world",Data Scientists - Multiple Opportunities,"
Data Scientists - Multiple Opportunities. Experience in manipulating data sets. As such, we are on the lookout for Data Scientists who are ready to utilise...",Sydney NSW,
132,"
    Murdoch Childrens Research Institute",Clinical Analyst (Medical Scientist),"
            Clinical Analyst (Medical Scientist). The position covers all aspects of the testing procedure, from specimen reception and sample processing to variant data...",Parkville VIC,"<span class=""no-wrap"">
                $64,199 - $74,246 a year</span>"
133,"
    Citak",Data Scientist,"
            Experience in relational databases, data modelling and Data Profiling. The *Data Scientist*. Provide mentorship and guidance to other team members, data...",Melbourne VIC,
134,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
135,"

    QBE Insurance",Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
136,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
137,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
138,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
139,"
    Murdoch Childrens Research Institute",Medical Scientist,"
            Discussing complex and/or difficult cases with team leader, senior scientists and genetic counsellors as required....",Parkville VIC,"<span class=""no-wrap"">
                $51,761 - $74,246 a year</span>"
140,"
    Professional Recruitment Australia",Business Analyst | Project Research,"
            6 month contract $45-$55/hr Central Location Our client are a large player in the Brisbane market and they are about to undergo a review of their current...",Brisbane QLD,"<span class=""no-wrap"">
                $45 - $55 an hour</span>"
141,"

    Talent International",Data Scientist,"
            Work with large amounts of data. Be innovative, be creative, use every bit of that key commodity - Data. Our client is an iconic Australia success story and...",Victoria,"<span class=""no-wrap"">
                $110,000 - $120,000 a year</span>"
142,"
    The Garvan Institute of Medical Research",Casual Medical Receptionist,"
            Record appointments, data entry and typing correspondence. The Garvan Institute is one of Australia’s leading medical research institutions with approximately...",Darlinghurst NSW,
143,"

    Peoplebank",Data Analyst,"
Data scientist perspective (modelling, core statistical competency). Peoplebank is looking to hire a Data Analyst for one of there premier clients in Sydney.The...",Sydney Central Business District NSW,
144,"
    QIMR Berghofer Medical Research Institute",Senior Biostatistician view position description,"
            Longitudinal and clustered data analysis,. Reporting to the Head of the Unit, and responsible for managing a small group of statisticians, you will use your...",Brisbane QLD,
145,"

    Michael Page",Data Scientist,"
            Influence the development and enhancement of data platforms. Work in a business committed to investing in Data Science....",Melbourne City Centre VIC,
146,"

    Evolution Recruitment Solutions",Machine Learning Enthusiasts,"
            Work along side Software Engineers, Data Analysts, Data Scientists and Product Specialists from all different backgrounds. Passionate about Data Science....",Sydney NSW,
147,"

    Urbis",Property Economics & Research - Senior Data Scientist,"
            Senior Consultant - Data Scientist. Data visualisation aptitude. As the Senior Consultant - Data Scientist, you will need the following skills and qualities:....",Melbourne VIC,
148,"
    Bluefin Resources",Data Scientist,"
            Reporting to the Lead Data Scientist, you will be possessing a wide knowledge of tools used in Data Science/Big Data for developing models and discovering...",Melbourne VIC,
149,"

    QBE Insurance",Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
150,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
151,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
152,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
